ID,adj.P.Val,P.Value,F,Gene.symbol,Gene.title
219574_at,9.29E-04,3.48E-04,8.46,March1,membrane associated ring-CH-type finger 1
235385_at,6.20E-03,3.05E-03,6.05,March1,membrane associated ring-CH-type finger 1
229383_at,1.25E-02,6.80E-03,5.18,March1,membrane associated ring-CH-type finger 1
1562338_at,3.08E-02,1.90E-02,4.09,March1,membrane associated ring-CH-type finger 1
210075_at,1.96E-01,1.57E-01,1.88,March2,membrane associated ring-CH-type finger 2
213256_at,4.43E-06,7.52E-07,1.57E+01,March3,membrane associated ring-CH-type finger 3
230385_at,5.59E-05,1.38E-05,1.22E+01,March3,membrane associated ring-CH-type finger 3
230112_at,7.26E-01,6.95E-01,3.65E-01,March4,membrane associated ring-CH-type finger 4
226394_at,1.96E-07,2.06E-08,2.03E+01,March5,membrane associated ring-CH-type finger 5
218582_at,2.74E-02,1.66E-02,4.23,March5,membrane associated ring-CH-type finger 5
201737_s_at,5.58E-04,1.94E-04,9.13,March6,membrane associated ring-CH-type finger 6
215422_at,2.60E-03,1.13E-03,7.15,March6,membrane associated ring-CH-type finger 6
215423_at,3.16E-03,1.41E-03,6.9,March6,membrane associated ring-CH-type finger 6
212498_at,6.46E-03,3.20E-03,6,March6,membrane associated ring-CH-type finger 6
201736_s_at,7.07E-02,4.89E-02,3.09,March6,membrane associated ring-CH-type finger 6
215512_at,3.96E-01,3.49E-01,1.06,March6,membrane associated ring-CH-type finger 6
202653_s_at,4.96E-08,4.21E-09,2.24E+01,March7,membrane associated ring-CH-type finger 7
232371_at,8.73E-08,8.04E-09,2.15E+01,March7,membrane associated ring-CH-type finger 7
1557703_at,3.05E-07,3.44E-08,1.96E+01,March7,membrane associated ring-CH-type finger 7
202654_x_at,7.44E-05,1.90E-05,1.18E+01,March7,membrane associated ring-CH-type finger 7
1557704_a_at,6.44E-02,4.40E-02,3.2,March7,membrane associated ring-CH-type finger 7
221824_s_at,7.70E-10,3.46E-11,2.91E+01,March8,membrane associated ring-CH-type finger 8
231933_at,8.72E-03,4.52E-03,5.63,March8,membrane associated ring-CH-type finger 8
236056_s_at,3.34E-02,2.08E-02,3.99,March8,membrane associated ring-CH-type finger 8
230001_at,1.48E-03,5.95E-04,7.86,March9,membrane associated ring-CH-type finger 9
226454_at,6.41E-02,4.37E-02,3.21,March9,membrane associated ring-CH-type finger 9
230824_at,1.17E-02,6.28E-03,5.27,March10,membrane associated ring-CH-type finger 10
237724_at,1.03E-01,7.51E-02,2.64,March10,membrane associated ring-CH-type finger 10
239359_at,3.84E-01,3.37E-01,1.1,March11,membrane associated ring-CH-type finger 11
200902_at,4.42E-07,5.27E-08,1.91E+01,Sep15,15 kDa selenoprotein
220781_at,7.20E-02,4.99E-02,3.07,Dec1,deleted in esophageal cancer 1
229819_at,3.71E-04,1.21E-04,9.66,A1BG,alpha-1-B glycoprotein
232462_s_at,4.52E-03,2.13E-03,6.45,A1BG-AS1,A1BG antisense RNA 1
241547_at,1.92E-08,1.42E-09,2.39E+01,A1CF,APOBEC1 complementation factor
220951_s_at,1.35E-05,2.72E-06,1.41E+01,A1CF,APOBEC1 complementation factor
1558450_at,1.69E-03,6.90E-04,7.7,A2M,alpha-2-macroglobulin
217757_at,6.30E-03,3.12E-03,6.03,A2M,alpha-2-macroglobulin
1564139_at,3.19E-04,1.02E-04,9.86,A2M-AS1,A2M antisense RNA 1 (head to head)
1564307_a_at,1.17E-04,3.22E-05,1.12E+01,A2ML1,alpha-2-macroglobulin like 1
1553505_at,1.51E-01,1.16E-01,2.19,A2ML1,alpha-2-macroglobulin like 1
236394_at,1.03E-01,7.50E-02,2.64,A2MP1,alpha-2-macroglobulin pseudogene 1
219488_at,4.19E-01,3.72E-01,9.96E-01,A4GALT,"alpha 1,4-galactosyltransferase"
221131_at,1.11E-06,1.53E-07,1.77E+01,A4GNT,"alpha-1,4-N-acetylglucosaminyltransferase"
241552_at,1.01E-01,7.37E-02,2.66,AA06,uncharacterized LOC100506677
218075_at,1.96E-06,2.94E-07,1.69E+01,AAAS,aladin WD repeat nucleoporin
218434_s_at,1.77E-01,1.39E-01,2,AACS,acetoacetyl-CoA synthetase
1570020_at,7.90E-01,7.66E-01,2.68E-01,AACSP1,acetoacetyl-CoA synthetase pseudogene 1
205969_at,1.08E-02,5.74E-03,5.37,AADAC,arylacetamide deacetylase
240420_at,2.00E-06,3.00E-07,1.69E+01,AADACL2,arylacetamide deacetylase like 2
1569582_at,1.92E-01,1.53E-01,1.9,AADACP1,arylacetamide deacetylase pseudogene 1
223593_at,4.20E-03,1.96E-03,6.54,AADAT,aminoadipate aminotransferase
227534_at,6.79E-07,8.66E-08,1.84E+01,AAED1,AhpC/TSA antioxidant enzyme domain containing 1
243284_at,1.53E-05,3.13E-06,1.40E+01,AAGAB,alpha- and gamma-adaptin binding protein
202851_at,1.75E-05,3.65E-06,1.38E+01,AAGAB,alpha- and gamma-adaptin binding protein
202852_s_at,9.93E-04,3.76E-04,8.38,AAGAB,alpha- and gamma-adaptin binding protein
205435_s_at,1.75E-07,1.80E-08,2.05E+01,AAK1,AP2 associated kinase 1
214998_at,4.21E-07,4.99E-08,1.91E+01,AAK1,AP2 associated kinase 1
238100_at,4.41E-04,1.48E-04,9.43,AAK1,AP2 associated kinase 1
205434_s_at,1.93E-03,8.02E-04,7.53,AAK1,AP2 associated kinase 1
225522_at,5.86E-03,2.87E-03,6.12,AAK1,AP2 associated kinase 1
214956_at,9.45E-03,4.95E-03,5.53,AAK1,AP2 associated kinase 1
211186_s_at,8.90E-02,6.36E-02,2.81,AAK1,AP2 associated kinase 1
221599_at,5.06E-06,8.78E-07,1.55E+01,AAMDC,adipogenesis associated Mth938 domain containing
220268_at,8.59E-06,1.61E-06,1.48E+01,AAMDC,adipogenesis associated Mth938 domain containing
221600_s_at,2.19E-03,9.27E-04,7.37,AAMDC,adipogenesis associated Mth938 domain containing
201511_at,2.38E-01,1.96E-01,1.65,AAMP,angio associated migratory cell protein
207225_at,7.82E-04,2.86E-04,8.69,AANAT,aralkylamine N-acetyltransferase
218089_at,5.46E-02,3.64E-02,3.4,AAR2,AAR2 splicing factor homolog
201000_at,5.98E-02,4.04E-02,3.29,AARS,alanyl-tRNA synthetase
231845_at,5.06E-02,3.34E-02,3.49,AARS2,"alanyl-tRNA synthetase 2, mitochondrial"
230024_at,2.81E-01,2.37E-01,1.46,AARS2,"alanyl-tRNA synthetase 2, mitochondrial"
228041_at,3.18E-04,1.02E-04,9.86,AASDH,aminoadipate-semialdehyde dehydrogenase
235435_at,1.72E-02,9.76E-03,4.8,AASDH,aminoadipate-semialdehyde dehydrogenase
224313_at,1.82E-01,1.44E-01,1.97,AASDHPPT,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
202170_s_at,1.87E-01,1.49E-01,1.93,AASDHPPT,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
